question;answer
what country manufactured the helicopter?;Russia
in which year was the helicopter created?;2018
weight of a drones?;300 kg
how long does the helicopter work?;up to 5 hours
What are the dimensions of this model of unmanned helicopter?;two 3.5-meter-wide screws
where you can buy?;Helicopters of Russia
where you can buy a helicopter?;Helicopters of Russia
where is the helicopter?;The St. Petersburg International Economic Forum
where is it?;The St. Petersburg International Economic Forum
What is the carrying capacity of a helicopter?;70 kg
What is the weight of the helicopter?;300 kg
What is the carrying capacity of a helicopter?;70 kg
What is the mass of the helicopter?;300 kg
What time can be in the air?;5 hours
what amount of payload is it capable of carrying?;70 kg
what is the weight of the helicopter?;300 kg
how long can the helicopter be in the air?;5 hours
how long is the helicopter capable of being in the air?;5 hours
how long is the duration of a helicopter flight?;5 hours
how much does the helicopter weigh?;300 kg
how long can a it stay in the air without moving around ?;5 hours
how many types of unmanned helicopters are there?;two
how many types does it have?;two
how many wings it has?;two
what is the average weight of an unmanned helicopter?;300 kg
what is the benefit of it?;diagnostics of overhead transmission lines, mapping, transportation of cargo, search operations, as well as monitoring of the ecological situation, roads and objects of roadside infrastructure.
what is the flight time with full battery?;5 hours
what is the function of an unmanned helicopter?;diagnostics of overhead transmission lines, mapping, transportation of cargo, search operations, as well as monitoring of the ecological situation, roads and objects of roadside infrastructure.
what is the functions of this helicopter?;diagnostics of overhead transmission lines, mapping, transportation of cargo, search operations, as well as monitoring of the ecological situation, roads and objects of roadside infrastructure.
what is the maximum weight you can carry?;70 kg
what is the purpose of an unmanned helicopter?;diagnostics of overhead transmission lines, mapping, transportation of cargo, search operations, as well as monitoring of the ecological situation, roads and objects of roadside infrastructure.
what is the purpose of it?;diagnostics of overhead transmission lines, mapping, transportation of cargo, search operations, as well as monitoring of the ecological situation, roads and objects of roadside infrastructure.
what is the weight;300 kg
what is the weight of it?;300 kg
what is the weight?;300 kg
what is the working time with full charge;5 hours
what is this helicopter for?;diagnostics of overhead transmission lines, mapping, transportation of cargo, search operations, as well as monitoring of the ecological situation, roads and objects of roadside infrastructure.
what's the aim of it?;diagnostics of overhead transmission lines, mapping, transportation of cargo, search operations, as well as monitoring of the ecological situation, roads and objects of roadside infrastructure
when did the unmanned helicopter production begin?;In 2019, it is planned to certify the device, and in 2020 - to begin commercial sales
it can be bought somewhere?;Helicopters of Russia
is there a copy of the helicopter?;The VRT300 is developed in two versions
is there a copy of the helicopter model?;The VRT300 is developed in two versions
Does the helicopter have a camera?;is equipped with an onboard side-scan radar
how to control the helicopter?;by an operator from a control point
what is the name of this helicopter?;VRT300
how is the helicopter operated?;by an operator from a control point
how is the helicopter controlled?;by an operator from a control point
What is the takeoff weight of a drone?;maximum takeoff weight of 300 kg
What is the take-off mass of an unmanned vehicle?;maximum takeoff weight of 300 kg
what is the length of the blades of the helicopter?;3.5-meter-wide
What is the mass of the helicopter?;weight of 300 kg
which company developed a drone?;Helicopters of Russia
What kind of a helicopter is it?;unmanned vehicle
What is the maximum duration of a helicopter flight?;up to 5 hours
what is the maximum speed of the helicopter?;180 km / h
what is the brand of the helicopter?;VRT300
What is the mass of the helicopter?;300 kg
which model of the helicopter?;VRT300
what is the model of the helicopter in front of you?;VRT300
what is the duration of the flight?;up to 5 hours
What powerplant helicopter?;"engine on ""heavy"" fuel"
What is the speed of the helicopter?;180 km / h
