1_quest;2_answer
"""где запланировано подписание меморандума о сотрудничестве между сбербанком и """"вертолетами россии""""?""";"на петербургском международном экономическом форуме
"
что планируется в соответствии с условиями меморандума?;"установление партнерских отношений
"
"""на что будет направлено сотрудничество сбербанка и """"вертолетов россии""""?""";"на создание федерального логистического оператора
"
для чего предназначен беспилотный вертолет vrt300?;"для инкассации
"
сотрудничество каких компаний привело к появлению vrt300?;"сбербанка и вертолеты россии
"
когда сбербанк впервые испытал беспилотный летательный аппарат для доставки наличных денег?;"16.06.2017
"
с какой скоростью летает беспилотный летательный аппарат сбербанка для доставки наличных денег?;"180 км/ч
"
какое расстояние преодолел беспилотный летательный аппарат сбербанка на первом испытании?;"10 км
"
какое устройство использовал сбербанк для доставки наличных денег?;"беспилотный летательный аппарат
"
какой российский банк впервые испытал беспилотный летательный аппарат для доставки наличных денег?;"сбербанк
"
какое главное задание комплекса vrt300 arctic supervision? ;"развитие транспортной системы северного морского пути.
"
чем оборудован комплекс vrt300 arctic supervision?;"бортовым радиолокатором бокового обзора x-диапазона высокого разрешения.
"
где применяется арктическая версия vrt300?;"на ледоколах и на буровых платформах.
"
груз какого веса может перевозить комплекс?;" 70 кг
"
для чего применяется бортовой радиолокатор бокового обзора? ;"он позволяет оперативно оценить динамику ледовой обстановки.
"
в какую госкорпорацию входит холдинг «вертолеты россии»;"в госкорпорацию «рсотех»
"
какой беспилотный аппарат был разработан ;"vrt300
"
какая максимальная взлетная масса аппарата ;"300 кг
"
какая целевая полезная нагрузка ;"70 кг
"
в каком году планируется сертифицировать аппарат ;"в 2019г
"
какая задача комплекса vrt300 arctic supervision является приоритетной? ;"развитие транспортной системы северного морского пути
"
какова целевая нагрузка комплекса vrt300 arctic supervision? ;"70 кг
"
для чего используется комплекс vrt300 arctic supervision? ;"для обеспечения поисково-спасательных работ 
"
чём оснащён комплекс vrt300 arctic supervision? ;"бортовым радиолокатором бокового обзора x-диапазона
"
для чего нужен бортовой радиолокатор бокового обзора? ;"для оценки динамики обстановки
"
когда была создана госкорпорация ростех?;"в 2007г.
"
сколько организаций входит в состав корпорации ростех?;"более 700
"
какой была выручка ростеха в 2016г.?;"1 трлн 266 млрд рублей
"
какова средняя зарплата по корпорации за 2016г.?;"44 000 рублей
"
внедрение чего относится к одной из главных задач ростеха?;"внедрение нового технологического уклада
"
для функционирования в какой области жизнеобеспечения предназначен комплекс vrt300 в исполнении opticvision?;"в сфере добычи и транспортировки энергоресурсов.
"
для развития чего  в сфере добычи и транспортировки энергоресурсов предназначен комплекс vrt300 в исполнении opticvision ;"системы диагностики, предупреждения и ликвидации аварийных ситуаций.
"
как долго версия opticvision комплекса vrt300 может находиться в воздухе?;"до 5 часов.
"
с какой скоростью  может передвигаться версия opticvision комплекса vrt300?;"180 км/ч.
"
что относится к прочим задачам комплекса vrt300?;"диагностика воздушных линий электропередачи.
"
какую систему винтов имеет vrt300?;"соосную.
"
сколько винтов имеет vrt300?;"два
"
какой размах винтов у vrt300?;"3,5 метра
"
какие характеристики повышаются благодаря соосной системе винтов у vrt300?;"управляемость и устойчивость к порывам ветра.
"
насколько снижается расход топлива благодаря соосной системе винтов у vrt300?;"на 20%.
"
какую систему винтов имеет vrt300;"соосную 
"
какой размах винтов ;"3,5 метра
"
в каких направления вращаются винты;"в противоположных 
"
преимущества соосной системы винтов ;"повышает управляемость и устойчивость к порывам ветра
"
на сколько процентов возможно снизить расход топлива при соосной системе винтов при зависании;"на двадцать процентов
"
"""какой аппарат был разработан холдингом """"вертолеты россии""""?""";"беспилотный аппарат vrt300
"
какова его взлетная масса?;"300 кг
"
